CBG_ID_v,Income_v,Wp_v,Pbb_v,Upp_v
G08004309790013,,,,
G08001500003001,,,,
G08011900102033,,,,
G08009300005003,121446.68041237112,0.702781136201468,0.5539125379061884,0.0289036034897866
G08009300005002,123610.17931034484,0.7372981367030357,0.5628585449441298,0.0274154406243575
G08001500004022,,,,
G08011900101091,,,,
G08011900101122,,,,
G08009300005001,121337.40959409594,0.7032301659415496,0.526905206619313,0.0294302669274121
G08011900101111,,,,
G08004100037131,,,,
G08004100046023,,,,
G08004100039102,,,,
G08007309618002,,,,
G08004100039114,,,,
G08004100039131,,,,
G08004100039113,,,,
G08004100075021,,,,
G08004100075024,86862.75,0.6323780624512845,0.3668459403260168,0.0236147006683362
G08004100037132,,,,
G08004100037133,137246.88235294115,0.649453783000003,0.5262596001453004,0.0386228757514137
G08004100039111,,,,
G08003909611002,125823.30337078653,0.7319750683580811,0.4805483683295934,0.0326044677319846
G08007309617002,,,,
G08007309617003,,,,
G08003909612052,123730.95098039215,0.746757973495925,0.4887220658709617,0.0285244285800775
G08003909611001,119642.04899777284,0.6920139600154966,0.4819768688466643,0.0332478804475384
G08009300004002,121244.74956822109,0.7250720726262544,0.5444949536305123,0.0290938599564433
G08006509619001,,,,
G08009300003002,118914.04225352113,0.719917385066487,0.5385169268209734,0.0302513492159301
G08009300004001,121455.18215069496,0.7141392775090873,0.5344525184326199,0.028162535339005
G08003500144041,131844.9539295393,0.7648110542896377,0.5509718401750492,0.032786526147782
G08003500144042,136970.6739130435,0.7745643429697612,0.5630285493189026,0.0337402600997642
G08003500144072,125535.6256372906,0.7226437173965492,0.5338870144981304,0.031718930637284
G08003500142061,134156.0076923077,0.7590659785565473,0.551650275004079,0.0312372190026247
G08003500144091,142728.76150234742,0.7954573417954346,0.5697816439501147,0.0369716307052025
G08003500144054,149163.25343511452,0.8088415944636788,0.5827442495179017,0.0439186145164052
G08003500142051,133993.18903318903,0.732000982889568,0.5526561071170328,0.0295799563241368
G08004100074021,136292.33333333334,0.7889055410236164,0.7376257087859693,0.0131425574720399
G08004100074012,,,,
G08004100074013,136983.0,0.856321834606469,0.5986842061499693,0.0205058098393314
G08003909612092,124708.0981595092,0.7456548618740195,0.5082063591209827,0.0262799551992573
G08003500145061,116879.15789473684,0.6839962059751831,0.506646079146672,0.0313927744180045
G08003500144081,122172.515600865,0.6977431349849326,0.5206960110294948,0.03106059698894
G08003500146021,131559.7611464968,0.7340965126804617,0.52577205175002,0.0276318102730323
G08003500145062,123520.5350340136,0.6966130910656116,0.5244243874140407,0.0307278932663649
G08003909612091,122324.91007194245,0.7487596874586365,0.4789461138432591,0.0282430687469672
G08003909612081,125759.96408839778,0.750266945204366,0.4964062453494476,0.0235111671463199
G08005900120584,121958.48717948716,0.7360651522179104,0.5316392708532279,0.0302093091901638
G08009300003001,124565.40920502091,0.7278070698737795,0.5507376683439801,0.0279399209183962
G08003500143001,131074.564,0.7236228703180112,0.5554896895174549,0.0297057259403487
G08006509619002,140599.5,0.72789881906551,0.6161502685580642,0.0120023038886291
G08009300002002,121935.02733006308,0.7254614887635918,0.5477380995780116,0.0289818876943167
G08011700004031,,,,
G08009300002001,120330.58235294116,0.7362336772598158,0.5148075881284306,0.0269501096344483
G08005900120583,118419.92691622104,0.7189828404891746,0.5279054907783002,0.0285760620805562
G08011700004054,,,,
G08005900120582,121490.58620689657,0.7410709399104066,0.5200074949760027,0.0301796691566085
G08007309617001,,,,
G08003909612051,112178.76576576575,0.6815760245166769,0.4315488563164998,0.0303249481679394
G08000500071014,104224.03278688523,0.6156982834844836,0.3737717340327512,0.034486509919667
G08000500071013,105525.6871165644,0.6398784710093771,0.4024975808073768,0.0325416468396038
G08000500071011,103628.97955974843,0.5921320387119137,0.3617337216091541,0.0319322936402884
G08000500071012,109337.80267558528,0.6617473636562138,0.3643236580115244,0.0338145882873433
G08003909612082,130996.79009433962,0.7639041409614953,0.5084559240705837,0.0268379482812344
G08003500146041,135708.0234939759,0.7581906927206449,0.5480810071303323,0.0272058737262221
G08003500145063,134542.85714285713,0.7715280815951369,0.5503239183997264,0.0267209356579124
G08003500145053,137182.70092735704,0.7949528496665512,0.556943574687193,0.0315484641312985
G08003500145051,134542.183178689,0.7641515382968288,0.551199404943796,0.0316077986215634
G08003500145052,139222.35067873303,0.8081403746054702,0.5666372162029127,0.0306051292703909
G08003500146033,139899.2188235294,0.8062131401073854,0.5604259620062918,0.0373216630394357
G08003500145042,137797.89293680296,0.805061664901407,0.5539654370681598,0.0296992565182099
G08003500145041,142514.22334238078,0.7779150383300696,0.5737662538366933,0.0304709117291808
G08003500146032,138106.90005491488,0.8004053250913147,0.5636843349566475,0.0261342591033766
G08003500144071,139011.40893037335,0.771014245696677,0.5635414569957401,0.0322447319685869
G08003500146042,134314.29006410256,0.7785529521157744,0.5423953667205924,0.0330261238488159
G08003500145043,136278.03602620086,0.8017140155751933,0.5452114963239236,0.0308330449095461
G08003500146031,136365.2271062271,0.7842920722559472,0.5408546285368189,0.031836455635923
G08003500140136,135452.84003281378,0.7943701952705395,0.5538461128354102,0.0289135629375404
G08003500145032,141800.04709576137,0.7906216796750348,0.5687656602914106,0.0306988318733826
G08003909612061,128016.83615819208,0.761115411103463,0.4971699386064204,0.0258374203589708
G08003500144106,150039.3469387755,0.8118508627821193,0.5892478979251101,0.0390290078182399
G08003500145031,138953.61146811667,0.7924935562030129,0.556648784102608,0.0297827703182251
G08003500144101,146092.19707467282,0.8052255728184202,0.5815064159093397,0.0351269647346362
G08003500140135,142310.42337662337,0.7920460120860587,0.5612652964743906,0.0258844867690763
G08003500144102,142275.32686335404,0.7825277533028807,0.5728491539702842,0.0324657185351922
G08003500144104,144292.7031729785,0.7933455112479268,0.5655629002489816,0.0384868759106445
G08003500144105,147114.32774049218,0.8053080347283855,0.5774662512388399,0.0413729532493923
G08003500144103,148168.1769706337,0.8025000767856888,0.5750208887761479,0.0407666013582121
G08003500145033,144510.60564835544,0.7757130865769146,0.5749577934445304,0.0295476995082986
G08003500140131,140833.638483965,0.7838798986438865,0.5436249654692178,0.026110533111442
G08003500144107,149002.0289443814,0.8070088917592231,0.5920051866359753,0.0370496722136031
G08003909612072,126988.95343680707,0.7493354894167399,0.4864170188771278,0.0256037316272604
G08003500139093,138146.0538243626,0.7832104691595948,0.5371970252140256,0.026456268049728
G08003500144051,146650.42524509804,0.8019579413950884,0.587481543015808,0.0351458949978268
G08003500144053,150299.22136089578,0.8080216740242687,0.591201246969977,0.0378241688873802
G08003500139091,138221.00438020148,0.7622732582358244,0.5435562551898491,0.0267110915115871
G08003909612071,129886.1328545781,0.7617481940246283,0.5164734672094804,0.0235783109981317
G08003500141232,141538.80232161147,0.7487837049293216,0.5700438774092546,0.0299168032776305
G08003500144052,148717.3609215017,0.8083353797011399,0.5964106966002533,0.0353666073157167
G08003909612063,119606.1037037037,0.7615148180481691,0.4939287603604922,0.0264442885387978
G08003500140132,146149.54034810126,0.7838010372484701,0.5782950810057883,0.0281381192334836
G08003500140172,149373.48861646236,0.7964329999723578,0.5960258084713743,0.0296334493735898
G08003500140134,144178.71331828443,0.7718410804623097,0.564079985103219,0.0242207160503141
G08003500139092,141944.31647634585,0.7655754367694788,0.562474844939374,0.0263239323703277
G08003500140171,144080.74442817635,0.7698807066065221,0.5748238484782988,0.0302872744278881
G08003909612062,127722.7665615142,0.7336416529846639,0.4915428254672537,0.0254946155846176
G08003500141231,153884.73085244483,0.7880361332227066,0.601551652412782,0.0322799271285242
G08003500141421,157701.39156626505,0.778416546453536,0.612814232105253,0.0281582806243417
G08003500139151,142430.5858352579,0.7740826841379147,0.5647962958328895,0.0259680194828673
G08003500139153,140219.9315068493,0.7895246152968345,0.5610693944903788,0.0237232754840597
G08003500140133,144638.95956284154,0.7578656404758143,0.5594538039351366,0.0271699603640467
G08003500140162,147335.5066793893,0.766192053614734,0.5783404348770884,0.0289407358420398
G08003500139152,145771.89645776566,0.7874517349861869,0.5714886573748121,0.0248708096665215
G08003500141412,161489.32551143202,0.7829133598933595,0.6311241978561184,0.0289151804030858
G08003500139141,141410.91962821214,0.775327013146472,0.5556503522026923,0.0248429059557753
G08003500141413,160026.18879456708,0.7821661327973014,0.6211978169564081,0.0281559487509857
G08003500141411,176147.42340425533,0.8064042162297109,0.6618963334826893,0.0269089948287781
G08003500139142,146259.77931991674,0.7771377979105326,0.5668700859624536,0.0251252079075765
G08003500140161,146009.08615245827,0.7712474883561105,0.5805023560632213,0.0262821079364847
G08003500141272,179760.61497890294,0.7956907218655664,0.6700464136920514,0.0258256612168027
G08003500139111,141134.72614840989,0.7580269821535544,0.5515008968515418,0.0251477201659649
G08003500141273,175627.66992665036,0.7986558998077758,0.6582388524608401,0.0259681382668324
G08003500139074,145070.16231505657,0.7859347868830572,0.5708339659620474,0.0247013312497387
G08005900120361,119997.61691542288,0.7484162176017601,0.5208014456501786,0.0315679103520388
G08009300001021,122585.25821596244,0.7564919520408178,0.5127342838447818,0.0280724392183038
G08005900120581,116623.00293255132,0.7307344193982918,0.5399986162718764,0.0317757964117515
G08005900120372,116394.20194174755,0.7221457705452672,0.526041807452755,0.0296009744234852
G08009300001012,124090.44617380026,0.723324679623452,0.539788232245783,0.0292080232973817
G08003500142031,137857.18932038834,0.7360518802221907,0.5764882618843812,0.0290278164272907
G08003500142032,136230.1156862745,0.7426830570176911,0.5624736799886948,0.0265964632850961
G08003500142071,133928.81407035177,0.7512270622142984,0.5482252784535538,0.0305348788379044
G08003500142033,133865.19915848528,0.7324963293735168,0.5675766102356858,0.0285836493725596
G08003500141351,150591.20523138833,0.7684854688431019,0.6128976845350786,0.0299444933443683
G08003500141271,167435.11575931232,0.7910313261521432,0.6618231886172102,0.0265585941077876
G08003500142052,135302.8688118812,0.7327852535013819,0.565072077691606,0.0290554505399441
G08003500142081,135750.25,0.7452087959158901,0.5679191808282602,0.0288802081260263
G08003500141442,175944.84603174604,0.7910384861718152,0.6890021840808684,0.0277018629026716
G08003500141352,152095.86019417475,0.7578116912635675,0.615361733929259,0.0290805761984373
G08003500140163,141406.35102040815,0.7748587110922508,0.5673658148107539,0.0251936090332662
G08003500139071,136672.1567251462,0.7654258898515991,0.5480408941245518,0.0251660559638655
G08003500141253,153133.921322691,0.7692032491258834,0.6021298077898163,0.0283404791216879
G08003500139114,146859.6175908222,0.7725027847099522,0.5728716045761568,0.0254060957140266
G08003500140111,147528.4051270815,0.7572669104015303,0.5879754382228405,0.0272157025127622
G08003500139073,145923.29613500272,0.7855005800137285,0.5727282900171944,0.0247083557341759
G08003500139072,139812.56357552583,0.7488980469840759,0.5550069964733413,0.0269017913243382
G08003500139115,151568.82739059968,0.7832747357913609,0.5788880169879281,0.0274574091134887
G08003500139103,148759.2325268817,0.7847252768302074,0.5681227556063225,0.0256503468549761
G08003909612043,132956.76091081594,0.7301352770491569,0.51708577636078,0.0254041493395575
G08009300001022,116250.80129032258,0.7205575571186406,0.5190584457866811,0.0301959904902412
G08011700003021,,,,
G08005900120371,119256.67300380228,0.7390899520606595,0.5291677940840407,0.0268029262324487
G08005900120362,135307.00643086818,0.7641205436410924,0.5865527010909843,0.0271606058227225
G08011700004041,66231.0,0.6570827443402332,0.4039024350838787,0.0744680844462049
G08005900120373,117335.5296875,0.7307738907285698,0.5208207877748641,0.0272912917825084
G08003500140061,145835.7551194539,0.7644865365306516,0.5792844167779468,0.0238174826276332
G08003500140063,143715.2487531172,0.7698590734755011,0.5855187444269404,0.0242959360970226
G08003909612044,138325.66246851385,0.7502412193616466,0.5240553692239843,0.0274590846608063
G08003500139101,146901.2621641249,0.7792654548912722,0.5659287240902495,0.0219577516159999
G08003909612041,117244.83823529413,0.6914366375520204,0.4590159424400772,0.0301559821535451
G08003500140091,142743.40459363957,0.7634644599545493,0.5798379372005161,0.0263579181798562
G08003500139112,151221.52763157894,0.77651266653563,0.5650281346818761,0.0230611144093995
G08003500139053,147142.63382899627,0.7797006919936482,0.5535088961529103,0.0302328379629726
G08003500140062,144350.7943615257,0.7614357760229586,0.5842448170045074,0.025733319118554
G08003500139102,144373.81886087768,0.7635933136886828,0.5494409483018036,0.0273301520184214
G08003500141251,150479.00578536303,0.7668434358037364,0.6181329234420015,0.0273038929664475
G08003500139054,139826.91203127778,0.7463164070444854,0.5536293230371234,0.0261631384208658
