CBG_ID_v,Income_v,Wp_v,Pbb_v,Upp_v
G27013100702004,,,,
G27013100702003,,,,
G27004900805003,,,,
G27004900805002,,,,
G27004900806001,,,,
G27004900806003,,,,
G27007909501022,,,,
G27007909501023,,,,
G27007909502001,,,,
G27013100701012,,,,
G27013900811031,124193.23272535951,0.7927581491337059,0.4858341627940178,0.0216325836897972
G27013900811034,121743.06613756614,0.8148882326755866,0.4543615069065999,0.0222642061766774
G27013100706022,,,,
G27013100706011,,,,
G27013100705011,,,,
G27013100706012,,,,
G27003700615022,115154.4,0.8229600357554516,0.4025774132589826,0.0276533626632345
G27003700615023,100938.42469879518,0.6824706642260926,0.4392658205508419,0.0174646657589872
G27007909501021,,,,
G27013100701011,,,,
G27007909501011,,,,
G27007909501012,,,,
G27013900812005,66916.55009451795,0.8850888924453555,0.3747970457259777,0.0141129101547158
G27013900812003,64810.55061728395,0.8854255723214056,0.381154348293094,0.0111457267974549
G27013900812002,75743.01895943562,0.8828084655983662,0.3927883055398153,0.0159180675982322
G27013900812006,110896.27428571427,0.8168865522961335,0.4562744421308951,0.0235304339274308
G27013900811013,115866.1150870406,0.8342924593729418,0.4666648613704241,0.0306377232192919
G27013900813011,120780.40652818992,0.7659672222568729,0.5057830513033303,0.0252026819592854
G27013900813025,94806.504,0.7725951007875559,0.4330029906834905,0.0168322691217615
G27013900813021,87360.6282051282,0.607693213560307,0.3863605277688475,0.0252151599440651
G27013900813023,117908.29948364888,0.7618425963102139,0.4680227292777355,0.027485061374594
G27013900813012,120022.99328408328,0.7776778234496754,0.5120332770771664,0.0208410564121417
G27014301701981,,,,
G27013900811032,119675.85653287788,0.8133280934694145,0.4549664354943469,0.0160462002952006
G27013900811035,124308.76679731243,0.816758668779568,0.4532574289329411,0.0178337817577045
G27013900811033,129859.77429983526,0.8290513821584824,0.4042618872649168,0.0155325153103786
G27013900811021,135429.03116147307,0.8161614545061078,0.4765247466019647,0.0222377104973262
G27013900811022,126167.11989247311,0.80788378552985,0.4797474449153359,0.022526560534708
G27003700608361,120066.48658669574,0.7808158881343013,0.4638141436668413,0.0241318196543531
G27003700608353,130459.31096948496,0.8188527396783185,0.4996061103408869,0.0204021537460833
G27003700608364,122636.9842622004,0.797576292636846,0.5056897776524354,0.0189729161539844
G27003700608351,139802.15328261483,0.8084128699323124,0.5546600808290093,0.015507305369687
G27003700608352,123852.52728142947,0.8053923407833332,0.5212918863603531,0.0186681531153147
G27013900812001,101906.5206861756,0.8329030157819761,0.4305362732643696,0.0147285925703709
G27013900812004,100385.89099054255,0.8405239578011355,0.4505624016992365,0.0153808283387599
G27013900811011,115035.05503634475,0.8296108505507743,0.4486020179967147,0.0200526153576256
G27013900811012,116179.65146831532,0.8061123307467739,0.4764361678643261,0.017682631888533
G27013900810011,128765.18132678133,0.7964517835528784,0.5310599939815539,0.0223355427453734
G27013900808014,115670.14196242172,0.7858357407671799,0.4810749821765663,0.0262022203684911
G27013900808012,114816.33789597184,0.7817084165649151,0.4603918620146879,0.0330402100740241
G27013900808011,117045.68774028194,0.7662262942206456,0.4672843432773629,0.0309526173376929
G27013900810015,140808.72569626904,0.8205745392061218,0.5408731694063906,0.0186470033725294
G27013900810013,133017.4698275862,0.8041607228563129,0.522806776278327,0.0188681132829119
G27003700608363,115473.87620772948,0.7536549402375834,0.4396746989527644,0.0236996356210068
G27003700609043,120192.0159201868,0.818948901360712,0.4220459349220251,0.02315658069888
G27003700609044,115488.96997726738,0.8277011617826138,0.3953209068980104,0.0247589656721223
G27003700609021,124320.70122717747,0.8163678613523622,0.4249303550799564,0.0215534177919043
G27003700609052,118777.68374945248,0.8057259396399618,0.3904733395307172,0.0210482655836874
G27003700608365,112512.7251908397,0.7854966705257835,0.4411327150866113,0.0252842370386352
G27003700609023,120090.0586683222,0.813876609780404,0.4516139969989259,0.0275859281214087
G27003700609051,125230.29123278469,0.8339542893444053,0.3949326226620902,0.0207250106877447
G27003700609073,126052.0455699985,0.8272371243362212,0.3951096125737898,0.0240896828189332
G27003700609022,121600.7767620171,0.8489142212417191,0.4554047022906471,0.0226413488912629
G27003700608371,130476.050003487,0.8114533217443297,0.5152003675353986,0.0190040299723348
G27003700608362,126215.30466851789,0.7933001559384225,0.5057707916407288,0.0203098106597128
G27013900810022,133830.77864214993,0.8139315304459908,0.5230242089641436,0.0208665323214979
G27013900810023,136600.17584328272,0.8281154445822685,0.5373191485758189,0.0182542296558396
G27013900810014,142609.00467836257,0.8226492790270886,0.5359058727588086,0.0216185791802426
G27003700608342,129007.41224069442,0.8093213099711042,0.5079805991465839,0.0210640089974424
G27003700608341,134063.54290339988,0.8116845552311985,0.5351224047531227,0.0193962247172654
G27003700608153,146848.6204928979,0.8175328415847222,0.5610188945997077,0.0202549654383983
G27003700608163,137287.04817102797,0.8161478017483764,0.5398662267325455,0.0218154236297694
G27003700608133,144860.15126329788,0.7888137586797129,0.4914463747835906,0.0161219854245618
G27013900813022,117277.15017985612,0.7673568665788796,0.4916512182360072,0.0234675020127637
G27013900813024,118628.2963414634,0.7894747331711441,0.4875544384121406,0.0272691052055329
G27001900911003,133626.7546875,0.7816476148711312,0.5179506094609503,0.0295020745316839
G27001900912021,112765.38411669368,0.854163152571464,0.4862105479818942,0.0265099188685623
G27001900912012,99136.95714285714,0.8782220581468442,0.3695245859146902,0.0266767122445092
G27001900912013,98369.02283653848,0.834680669399456,0.3795022921751192,0.0287821242838116
G27008509506004,,,,
G27001900912014,113838.29411764706,0.8257817577965076,0.485240624479861,0.0327891087302081
G27013900808022,128551.19547325103,0.7991750140964832,0.5178014111267687,0.020185545155066
G27013900808013,122977.02596618356,0.7778351178818637,0.4790300706727301,0.0306064929980875
G27013900810012,129692.99704905938,0.7915582012699871,0.5050223308432449,0.0171872194936118
G27013900809083,125020.49491740788,0.7759869632552407,0.4774273800334263,0.0252246635354641
G27013900809032,143178.37455344875,0.8265452885592306,0.5233141083835113,0.0189805084032689
G27013900809082,138955.85569571867,0.8240987107973282,0.5241944130428123,0.0160130955861965
G27013900809072,141447.14519056262,0.8379528583863778,0.5409033567806548,0.0196660570224048
