,Time,Target_CBG,Visitor_CBG,Num_visit,Num_visitor
10,2021-07-19 18.0,G27013900811031,G27003700608342,2.0,2.0
11,2021-07-19 10.0,G27013900811031,G27013900804001,1.0,1.0
12,2021-07-19 17.0,G27013900811031,G27016300710196,1.0,1.0
13,2021-07-19 9.0,G27013900811034,G27003700608322,1.0,1.0
14,2021-07-19 7.0,G27013900811034,G27013900809032,1.0,1.0
15,2021-07-19 6.0,G27013900811034,G27013900811031,1.0,1.0
16,2021-07-19 15.0,G27013900811034,G27013900811031,1.0,1.0
21,2021-07-19 8.0,G27003700615022,G27003700608112,1.0,1.0
22,2021-07-19 13.0,G27003700615022,G27003700609051,1.0,1.0
23,2021-07-19 20.0,G27003700615022,G27003700614024,1.0,1.0
24,2021-07-19 20.0,G27003700615023,G27003700609075,1.0,1.0
25,2021-07-19 9.0,G27003700615023,G27005301020002,1.0,1.0
30,2021-07-19 8.0,G27013900812005,G27013900812006,1.0,1.0
32,2021-07-19 9.0,G27013900812002,G27003700608352,1.0,1.0
33,2021-07-19 6.0,G27013900812002,G27013900812006,1.0,1.0
34,2021-07-19 9.0,G27013900812002,G27013900812006,1.0,1.0
35,2021-07-19 11.0,G27013900812002,G27013900812006,1.0,1.0
36,2021-07-19 13.0,G27013900812002,G27013900812006,1.0,1.0
38,2021-07-19 7.0,G27013900811013,G27013900809081,1.0,1.0
39,2021-07-19 19.0,G27013900811013,G27013900809082,1.0,1.0
43,2021-07-19 16.0,G27013900813023,G27003700608151,1.0,1.0
46,2021-07-19 10.0,G27013900811032,G27013900811031,1.0,1.0
47,2021-07-19 18.0,G27013900811035,G27001900911002,1.0,1.0
48,2021-07-19 15.0,G27013900811035,G27003700608311,1.0,1.0
49,2021-07-19 5.0,G27013900811035,G27003700615011,1.0,1.0
50,2021-07-19 17.0,G27013900811035,G27003700615011,1.0,1.0
51,2021-07-19 11.0,G27013900811035,G27005300258011,1.0,1.0
52,2021-07-19 13.0,G27013900811035,G27005300258011,1.0,1.0
53,2021-07-19 8.0,G27013900811035,G27016300710196,1.0,1.0
54,2021-07-19 16.0,G27013900811033,G27013900812006,1.0,1.0
55,2021-07-19 10.0,G27013900811021,G27003700608163,1.0,1.0
56,2021-07-19 7.0,G27013900811021,G27013900810023,1.0,1.0
57,2021-07-19 15.0,G27013900811022,G27003700608362,1.0,1.0
58,2021-07-19 7.0,G27013900811022,G27013900809061,1.0,1.0
59,2021-07-19 23.0,G27003700608361,G27003700607395,1.0,1.0
60,2021-07-19 11.0,G27003700608361,G27003700608353,1.0,1.0
61,2021-07-19 6.0,G27003700608361,G27003700608362,1.0,1.0
62,2021-07-19 15.0,G27003700608361,G27003700608362,1.0,1.0
63,2021-07-19 14.0,G27003700608361,G27003700609074,1.0,1.0
64,2021-07-19 13.0,G27003700608361,G27003700614023,2.0,2.0
