CBG_ID_v,Income_v,Wp_v,Pbb_v,Upp_v
G27013100702004,,,,
G27013100702003,,,,
G27004900805003,,,,
G27004900805002,,,,
G27004900806001,,,,
G27004900806003,,,,
G27007909501022,,,,
G27007909501023,,,,
G27007909502001,,,,
G27013100701012,,,,
G27013900811031,130401.33333333331,0.8024134175554796,0.4941786547629575,0.0205224199520228
G27013900811034,121523.625,0.7960213133357646,0.4274655057126342,0.0117875203834612
G27013100706022,,,,
G27013100706011,,,,
G27013100705011,,,,
G27013100706012,,,,
G27003700615022,109493.83333333331,0.829524908469089,0.3494726916672726,0.0201041102187744
G27003700615023,92703.39285714286,0.7178168470263826,0.4329901701494231,0.0162482683157733
G27007909501021,,,,
G27013100701011,,,,
G27007909501011,,,,
G27007909501012,,,,
G27013900812005,55763.61538461538,0.8656136462569916,0.3344518761696987,0.0087221395877745
G27013900812003,64529.63636363636,0.9274133849126618,0.395656114815357,0.0088549826172372
G27013900812002,92422.84615384616,0.8759659823087839,0.4553640283127168,0.0250412283943463
G27013900812006,129852.4,0.8515316750284077,0.4697961202927151,0.022455444129547
G27013900811013,105524.66666666669,0.7900090690122984,0.4608616214782676,0.037731139706458
G27013900813011,142713.33333333334,0.8161213025774344,0.5283188523405677,0.0342119520502539
G27013900813025,,,,
G27013900813021,0.0,0.1941328714915196,0.3189655126585415,0.0292929289970411
G27013900813023,128777.5,0.8171379612352867,0.5312182742681181,0.024795747310209
G27013900813012,120486.11111111112,0.7622264839690248,0.5275775552420299,0.0270600452520173
G27014301701981,,,,
G27013900811032,133824.76,0.8037773059682033,0.4563530922483415,0.0233457615228439
G27013900811035,129631.17777777778,0.8155185244704447,0.4376743720561537,0.0186112587111233
G27013900811033,129306.90909090907,0.8535798092858067,0.3551897874944001,0.0078949077769304
G27013900811021,129963.96153846152,0.81059365359347,0.4734421094491609,0.0122798594677564
G27013900811022,112282.11764705884,0.7690938743693918,0.4442952503424059,0.0135696249566443
G27003700608361,113443.93333333332,0.7734259481925976,0.460296589196403,0.0284262142216063
G27003700608353,131561.45799457995,0.8159813283296069,0.5166856874259096,0.017278518886355
G27003700608364,127068.24418604652,0.7982983170836071,0.5125163613741395,0.0160175484140712
G27003700608351,140669.20588235295,0.7981845922512807,0.538173682440344,0.0100971289878427
G27003700608352,128284.5737704918,0.796776918512704,0.532242220293109,0.0181768115579252
G27013900812001,115596.71428571428,0.8199540610594444,0.5005809011547477,0.0188989680637497
G27013900812004,108074.77777777778,0.8553833531487077,0.4100878907006696,0.0187942954656129
G27013900811011,100425.91666666669,0.7963056952955935,0.4199370380034742,0.0412916191027315
G27013900811012,108055.85714285714,0.7902502260609429,0.500057086030994,0.025191904989871
G27013900810011,115400.27272727272,0.804098289666401,0.4887546066513449,0.018886179555331
G27013900808014,125333.83333333331,0.8657711910028696,0.4682707321822195,0.0299375399332001
G27013900808012,123326.03333333334,0.8167537534188387,0.5163133692283758,0.0214260226834148
G27013900808011,122228.8947368421,0.7798635514609286,0.4568788677194664,0.0195000134069345
G27013900810015,138963.15,0.7879339376959326,0.5278296999188937,0.0221094611007751
G27013900810013,138104.6875,0.8147751747144572,0.5829753195000271,0.0180554309652231
G27003700608363,112185.02631578948,0.6943488935595714,0.4378394466362054,0.0190231659369302
G27003700609043,121739.55555555556,0.818452956240566,0.4044100305727706,0.0203841857623005
G27003700609044,112139.6625,0.8227796445595172,0.3828103405986073,0.0246399213170699
G27003700609021,124063.26041666669,0.8278531490536177,0.423682004428531,0.0218992712028334
G27003700609052,113892.64814814816,0.8130368910588203,0.3638509511772028,0.0201956913469583
G27003700608365,112071.32530120482,0.7669423666485284,0.4241826054126885,0.0289925093605005
G27003700609023,115206.33783783784,0.8110975681079285,0.4368335061208993,0.0242873606205309
G27003700609051,141590.10714285713,0.8685026476291345,0.4446458401338954,0.0098298899900868
G27003700609073,121630.68831168833,0.8390497721853213,0.3742302201494941,0.0285312344334475
G27003700609022,121585.38235294116,0.8477635000123358,0.4471347948747928,0.0231379509283785
G27003700608371,129079.7093023256,0.8188361432392699,0.5475919004722964,0.0172323531293156
G27003700608362,139360.79104477612,0.8118897391327674,0.5380976556209418,0.0180825387656557
G27013900810022,129971.29545454546,0.791365984362892,0.5233557487099979,0.0187723607208052
G27013900810023,135953.83157894737,0.8313029433240021,0.5552486600820651,0.0154104116961314
G27013900810014,145662.12698412698,0.820229651445703,0.5330376712773859,0.0171739438329587
G27003700608342,132166.65037593985,0.8125754587272028,0.5082759304536595,0.018305817585712
G27003700608341,130526.84574468085,0.8212690844139039,0.5364158596656977,0.0183307981269955
G27003700608153,145225.8777777778,0.8091777011616366,0.5678996679366577,0.0189103118651796
G27003700608163,138556.74074074073,0.8149890765352688,0.5354419248858849,0.0258673226218489
G27003700608133,146194.06944444444,0.7745151255473706,0.4633872048137514,0.0164475952920925
G27013900813022,113496.8125,0.7821944106883978,0.4803933389517613,0.0390775944165431
G27013900813024,122395.54545454546,0.8153437695747584,0.4956564427455578,0.0273565061320442
G27001900911003,145968.0,0.7910457807039892,0.4421167337726435,0.0254845444501099
G27001900912021,103671.3,0.8125750750003065,0.5221812929614968,0.019608598423908
G27001900912012,108544.0,0.8231640920170324,0.3732753210447441,0.0243478969754007
G27001900912013,104985.8,0.8776452807707887,0.379122791457846,0.0356077903125626
G27008509506004,,,,
G27001900912014,131182.57142857142,0.8282611282604403,0.4210717539358262,0.041761135291569
G27013900808022,126464.22641509434,0.8087376063953768,0.5038277527590954,0.0175008403455501
G27013900808013,109431.39130434782,0.7349000574954158,0.416644459005362,0.0414285086593976
G27013900810012,141285.8148148148,0.8346317060900775,0.5480818660370738,0.0179283447681381
G27013900809083,109215.46428571428,0.7385271100559214,0.4732331666848756,0.0308288938775475
G27013900809032,143960.0243902439,0.8444607378843806,0.5500579530892701,0.0188912189368788
G27013900809082,142841.37,0.8116816689903513,0.548450609429135,0.0193640755762348
G27013900809072,152441.8780487805,0.8391837346493287,0.6016949635619714,0.0191037810287282
G27013900809081,119287.63157894736,0.7326313469927629,0.4285219459707599,0.0181795607243013
